gene_id,name
1035,ARSJ
1036,ARSK
1037,ART1
1038,ART3
1039,ART4
1040,ART5
1041,ARTN
1042,ARV1
1043,ARVCF
1044,ARX
1045,AS3MT
1046,ASAH1
1047,ASAH2
1048,ASAH2B
1049,ASAM
1050,ASAP1
1051,ASAP1IT1
1052,ASAP2
1053,ASAP3
1054,ASB10
1055,ASB11
1056,ASB12
1057,ASB13
1058,ASB14
1059,ASB15
1060,ASB1
1061,ASB16
1062,ASB17
1063,ASB18
1064,ASB2
1065,ASB3
1066,ASB4
1067,ASB5
1068,ASB6
1069,ASB7
1070,ASB8
1071,ASB9
1072,ASCC1
1073,ASCC2
1074,ASCC3
1075,ASCL1
1076,ASCL2
1077,ASCL3
1078,ASCL4
1079,ASF1A
1080,ASF1B
1081,ASFMR1
1082,ASGR1
1083,ASGR2
1084,ASH1L
1085,ASH2L
1086,ASIP
1087,ASL
1088,ASMT
1089,ASMTL
1090,ASNA1
1091,ASNS
1092,ASNSD1
1093,ASPA
1094,ASPDH
1095,ASPG
1096,ASPH
1097,ASPHD1
1098,ASPHD2
1099,ASPM
1100,ASPN
1101,ASPRV1
1102,ASPSCR1
1103,ASRGL1
1104,ASS1
1105,ASTE1
1106,ASTL
1107,ASTN1
1108,ASTN2
1109,ASXL1
1110,ASXL2
1111,ASXL3
1112,ASZ1
1113,ATAD1
1114,ATAD2
1115,ATAD2B
1116,ATAD3A
1117,ATAD3B
1118,ATAD3C
1119,ATAD5
1120,ATCAY
1121,ATE1
1122,ATF1
1123,ATF2
1124,ATF3
1125,ATF4
1126,ATF5
1127,ATF6
1128,ATF6B
1129,ATF7
1130,ATF7IP2
1131,ATF7IP
1132,ATG10
1133,ATG12
1134,ATG16L1
1135,ATG16L2
1136,ATG2A
1137,ATG2B
1138,ATG3
1139,ATG4A
1140,ATG4B
1141,ATG4C
1142,ATG4D
1143,ATG5
1144,ATG7
1145,ATG9A
1146,ATG9B
1147,ATHL1
1148,ATIC
1149,ATL1
1150,ATL2
1151,ATL3
1152,ATM
1153,ATMIN
1154,ATN1
1155,ATOH1
1156,ATOH7
1157,ATOH8
1158,ATOX1
1159,ATP10A
1160,ATP10B
1161,ATP10D
1162,ATP11A
1163,ATP11B
1164,ATP11C
1165,ATP12A
1166,ATP13A1
1167,ATP13A2
1168,ATP13A3
1169,ATP13A4
1170,ATP13A5
1171,ATP1A1
1172,ATP1A2
1173,ATP1A3
1174,ATP1A4
1175,ATP1B1
1176,ATP1B2
1177,ATP1B3
1178,ATP1B4
1179,ATP2A1
1180,ATP2A2
1181,ATP2A3
1182,ATP2B1
1183,ATP2B2
1184,ATP2B3
1185,ATP2B4
1186,ATP2C1
1187,ATP2C2
1188,ATP4A
1189,ATP4B
1190,ATP5A1
1191,ATP5B
1192,ATP5C1
1193,ATP5D
1194,ATP5E
1195,ATP5EP2
1196,ATP5F1
1197,ATP5G1
1198,ATP5G2
1199,ATP5G3
1200,ATP5H
1201,ATP5I
1202,ATP5J2
1203,ATP5J
1204,ATP5L
1205,ATP5L2
1206,ATP5O
1207,ATP5S
1208,ATP5SL
1209,ATP6AP1
1210,ATP6AP1L
1211,ATP6AP2
1212,ATP6V0A1
1213,ATP6V0A2
1214,ATP6V0A4
1215,ATP6V0B
1216,ATP6V0C
1217,ATP6V0D1
1218,ATP6V0D2
1219,ATP6V0E1
1220,ATP6V0E2
1221,ATP6V1A
1222,ATP6V1B1
1223,ATP6V1B2
1224,ATP6V1C1
1225,ATP6V1C2
1226,ATP6V1D
1227,ATP6V1E1
1228,ATP6V1E2
1229,ATP6V1F
1230,ATP6V1G1
1231,ATP6V1G2
1232,ATP6V1G3
1233,ATP6V1H
1234,ATP7A
1235,ATP7B
1236,ATP8A1
1237,ATP8A2
1238,ATP8B1
1239,ATP8B2
1240,ATP8B3
1241,ATP8B4
1242,ATP8B5P
1243,ATP9A
1244,ATP9B
1245,ATPAF1
1246,ATPAF2
1247,ATPBD4
1248,ATPIF1
1249,ATR
1250,ATRIP
1251,ATRN
1252,ATRNL1
1253,ATRX
1254,ATXN10
1255,ATXN1
1256,ATXN1L
1257,ATXN2
1258,ATXN2L
1259,ATXN3
1260,ATXN3L
1261,ATXN7
1262,ATXN7L1
1263,ATXN7L2
1264,ATXN7L3
1265,ATXN7L3B
1266,ATXN8OS
1267,AUH
1268,AUP1
1269,AURKA
1270,AURKAIP1
1271,AURKAPS1
1272,AURKB
1273,AURKC
1274,AUTS2
1275,AVEN
1276,AVIL
1277,AVL9
1278,AVP
1279,AVPI1
1280,AVPR1A
1281,AVPR1B
1282,AVPR2
1283,AWAT1
1284,AWAT2
1285,AXIN1
1286,AXIN2
1287,AXL
1288,AZGP1
1289,AZI1
1290,AZI2
1291,AZIN1
1292,AZU1
1293,B2M
1294,B3GALNT1
1295,B3GALNT2
1296,B3GALT1
1297,B3GALT2
1298,B3GALT4
1299,B3GALT5
1300,B3GALT6
1301,B3GALTL
1302,B3GAT1
1303,B3GAT2
1304,B3GAT3
1305,B3GNT1
1306,B3GNT2
1307,B3GNT3
1308,B3GNT4
1309,B3GNT5
1310,B3GNT6
1311,B3GNT7
1312,B3GNT8
1313,B3GNT9
1314,B3GNTL1
1315,B4GALNT1
1316,B4GALNT2
1317,B4GALNT3
1318,B4GALNT4
1319,B4GALT1
1320,B4GALT2
1321,B4GALT3
1322,B4GALT4
1323,B4GALT5
1324,B4GALT6
1325,B4GALT7
1326,B9D1
1327,B9D2
1328,BAALC
1329,BAAT
1330,BACE1
1331,BACE2
1332,BACH1
1333,BACH2
1334,BAD
1335,BAG1
1336,BAG2
1337,BAG3
1338,BAG4
1339,BAG5
1340,BAGE2
1341,BAGE
1342,BAHCC1
1343,BAHD1
1344,BAI1
1345,BAI2
1346,BAI3
1347,BAIAP2
1348,BAIAP2L1
1349,BAIAP2L2
1350,BAIAP3
1351,BAK1
1352,BAMBI
1353,BANF1
1354,BANF2
1355,BANK1
1356,BANP
1357,BAP1
1358,BARD1
1359,BARHL1
1360,BARHL2
1361,BARX1
1362,BARX2
1363,BASE
1364,BASP1
1365,BAT1
1366,BAT2
1367,BAT2L1
1368,BAT2L2
1369,BAT3
1370,BAT4
1371,BAT5
1372,BATF
1373,BATF2
1374,BATF3
1375,BAX
1376,BAZ1A
1377,BAZ1B
1378,BAZ2A
1379,BAZ2B
1380,BBC3
1381,BBOX1
1382,BBS10
1383,BBS12
1384,BBS1
1385,BBS2
1386,BBS4
1387,BBS5
1388,BBS7
1389,BBS9
1390,BBX
1391,BCAM
1392,BCAN
1393,BCAP29
1394,BCAP31
1395,BCAR1
1396,BCAR3
1397,BCAR4
1398,BCAS1
1399,BCAS2
1400,BCAS3
1401,BCAS4
1402,BCAT1
1403,BCAT2
1404,BCCIP
1405,BCDIN3D
1406,BCHE
1407,BCKDHA
1408,BCKDHB
1409,BCKDK
1410,BCL10
1411,BCL11A
1412,BCL11B
1413,BCL2
1414,BCL2A1
1415,BCL2L10
1416,BCL2L11
1417,BCL2L12
1418,BCL2L13
1419,BCL2L14
1420,BCL2L15
1421,BCL2L1
1422,BCL2L2
1423,BCL3
1424,BCL6
1425,BCL6B
1426,BCL7A
1427,BCL7B
1428,BCL7C
1429,BCL8
1430,BCL9
1431,BCL9L
1432,BCLAF1
1433,BCMO1
1434,BCO2
1435,BCOR
1436,BCORL1
1437,BCORL2
1438,BCR
1439,BCS1L
1440,BCYRN1
1441,BDH1
1442,BDH2
1443,BDKRB1
1444,BDKRB2
1445,BDNF
1446,BDNFOS
1447,BDP1
1448,BEAN
1449,BECN1
1450,BEGAIN
1451,BEND2
1452,BEND3
1453,BEND4
1454,BEND5
1455,BEND6
1456,BEND7
1457,BEST1
1458,BEST2
1459,BEST3
1460,BEST4
1461,BET1
1462,BET1L
1463,BET3L
1464,BEX1
1465,BEX2
1466,BEX4
1467,BEX5
1468,BEYLA
1469,BFAR
1470,BFSP1
1471,BFSP2
1472,BGLAP
1473,BGN
1474,BHLHA15
1475,BHLHB9
1476,BHLHE22
1477,BHLHE23
1478,BHLHE40
1479,BHLHE41
1480,BHMT2
1481,BHMT
1482,BICC1
1483,BICD1
1484,BICD2
1485,BID
1486,BIK
1487,BIN1
1488,BIN2
1489,BIN3
1490,BIRC2
1491,BIRC3
1492,BIRC5
1493,BIRC6
1494,BIRC7
1495,BIRC8
1496,BIVM
1497,BLCAP
1498,BLID
1499,BLK
1500,BLM
1501,BLMH
1502,BLNK
1503,BLOC1S1
1504,BLOC1S2
1505,BLOC1S3
1506,BLVRA
1507,BLVRB
1508,BLZF1
1509,BMF
1510,BMI1
1511,BMP10
1512,BMP15
1513,BMP1
1514,BMP2
1515,BMP2K
1516,BMP3
1517,BMP4
1518,BMP5
1519,BMP6
1520,BMP7
1521,BMP8A
1522,BMP8B
1523,BMPER
1524,BMPR1A
1525,BMPR1B
1526,BMPR2
1527,BMS1
1528,BMS1P4
1529,BMS1P5
1530,BMX
1531,BNC1
1532,BNC2
1533,BNIP1
1534,BNIP2
1535,BNIP3
1536,BNIP3L
1537,BNIPL
1538,BOC
1539,BOD1
1540,BOD1L
1541,BOK
1542,BOLA1
1543,BOLA2
1544,BOLA3
1545,BOLL
1546,BOP1
1547,BPESC1
1548,BPGM
1549,BPHL
1550,BPI
1551,BPIL1
1552,BPIL2
1553,BPIL3
1554,BPNT1
1555,BPTF
1556,BPY2
1557,BRAF
1558,BRAP
1559,BRCA1
1560,BRCA2
1561,BRCC3
1562,BRD1
1563,BRD2
1564,BRD3
1565,BRD4
1566,BRD7
1567,BRD7P3
1568,BRD8
1569,BRD9
1570,BRDT
1571,BRE
1572,BREA2
1573,BRF1
1574,BRF2
1575,BRI3
1576,BRI3BP
1577,BRIP1
1578,BRIX1
1579,BRMS1
1580,BRMS1L
1581,BRP44
1582,BRP44L
1583,BRPF1
1584,BRPF3
1585,BRS3
1586,BRSK1
1587,BRSK2
1588,BRWD1
1589,BRWD3
1590,BSCL2
1591,BSDC1
1592,BSG
1593,BSN
1594,BSND
1595,BSPH1
1596,BSPRY
1597,BST1
1598,BST2
1599,BSX
1600,BTAF1
1601,BTBD10
1602,BTBD11
1603,BTBD12
1604,BTBD1
1605,BTBD16
1606,BTBD17
1607,BTBD18
1608,BTBD19
1609,BTBD2
1610,BTBD3
1611,BTBD6
1612,BTBD7
1613,BTBD8
1614,BTBD9
1615,BTC
1616,BTD
1617,BTF3
1618,BTF3L1
1619,BTF3L4
1620,BTG1
1621,BTG2
1622,BTG3
1623,BTG4
1624,BTK
1625,BTLA
1626,BTN1A1
1627,BTN2A1
1628,BTN2A2
1629,BTN2A3
1630,BTN3A1
1631,BTN3A2
1632,BTN3A3
1633,BTNL2
1634,BTNL3
1635,BTNL8
1636,BTNL9
1637,BTRC
1638,BUB1
